seed,method,AUC_ROC,AUC_PR,P@50,R@50,P@100,R@100,P@500,R@500,P@1000,R@1000
42,SilIF(a=0.0),0.7387028709111103,0.01426770140346123,0.14,0.000725313439021863,0.1,0.0010361620557455186,0.028,0.001450626878043726,0.025,0.0025904051393637966
42,SilIF(a=0.25),0.7207960331829733,0.011438393014989754,0.2,0.0010361620557455186,0.12,0.0012433944668946222,0.048,0.0024867889337892445,0.029,0.003004869961662004
42,SilIF(a=0.5),0.6846525477362174,0.00978288433477509,0.36,0.0018650917003419335,0.22,0.002279556522640141,0.054,0.0027976375505129004,0.031,0.0032121023728111076
42,SilIF(a=1.0),0.6121012887545949,0.008627570187600039,0.44,0.002279556522640141,0.33,0.0034193347839602114,0.076,0.00393741581183297,0.043,0.00445549683970573
42,SilIF(a=2.0),0.5407051599348529,0.008939264857773504,0.54,0.0027976375505129004,0.4,0.0041446482229820746,0.126,0.006527820951196767,0.067,0.006942285773494975
42,SilIF(a=4.0),0.49941277609766105,0.006624193958776175,0.32,0.0016578592891928299,0.2,0.0020723241114910373,0.062,0.0032121023728111076,0.035,0.0036265671951093152
42,IF,0.7387028709111103,0.01426770140346123,0.14,0.000725313439021863,0.1,0.0010361620557455186,0.028,0.001450626878043726,0.025,0.0025904051393637966
42,GlobalKMeans,0.8073525356226708,0.02203267271331593,0.06,0.00031084861672365556,0.03,0.00031084861672365556,0.018,0.0009325458501709667,0.011,0.0011397782613200705
43,SilIF(a=0.0),0.7372181789268993,0.013742718544705533,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.014,0.001450626878043726
43,SilIF(a=0.25),0.724223424224292,0.011850824685350883,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.014,0.001450626878043726
43,SilIF(a=0.5),0.7025348874414328,0.0102994433229145,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.014,0.001450626878043726
43,SilIF(a=1.0),0.6564927317430405,0.008465066247415333,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.016,0.0016578592891928299
43,SilIF(a=2.0),0.6048496040689808,0.007200124036128898,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.024,0.0012433944668946222,0.016,0.0016578592891928299
43,SilIF(a=4.0),0.5681206889697146,0.006559589730346552,0.2,0.0010361620557455186,0.12,0.0012433944668946222,0.034,0.0017614754947673816,0.023,0.0023831727282146928
43,IF,0.7372181789268993,0.013742718544705533,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.014,0.001450626878043726
43,GlobalKMeans,0.8075123055867425,0.02206696822790642,0.06,0.00031084861672365556,0.03,0.00031084861672365556,0.016,0.0008289296445964149,0.011,0.0011397782613200705
44,SilIF(a=0.0),0.7312316955109894,0.012412704242434559,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.012,0.0012433944668946222
44,SilIF(a=0.25),0.7368751863072069,0.013244451585661614,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.022,0.0011397782613200705,0.012,0.0012433944668946222
44,SilIF(a=0.5),0.7367035500425565,0.013675238309783908,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.022,0.0011397782613200705,0.013,0.0013470106724691741
44,SilIF(a=1.0),0.7310079989268888,0.013741599655461068,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.022,0.0011397782613200705,0.014,0.001450626878043726
44,SilIF(a=2.0),0.7181320997592965,0.012819357411380761,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.026,0.0013470106724691741,0.013,0.0013470106724691741
44,SilIF(a=4.0),0.7004884255045414,0.011010638546395245,0.2,0.0010361620557455186,0.12,0.0012433944668946222,0.024,0.0012433944668946222,0.013,0.0013470106724691741
44,IF,0.7312316955109894,0.012412704242434559,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.012,0.0012433944668946222
44,GlobalKMeans,0.8045992909038421,0.021462733571029905,0.0,0.0,0.03,0.00031084861672365556,0.014,0.000725313439021863,0.011,0.0011397782613200705
45,SilIF(a=0.0),0.7518033508971433,0.014924382695687365,0.22,0.0011397782613200705,0.19,0.001968707905916485,0.046,0.0023831727282146928,0.023,0.0023831727282146928
45,SilIF(a=0.25),0.7171915898959841,0.01241341712319187,0.26,0.0013470106724691741,0.21,0.002175940317065589,0.046,0.0023831727282146928,0.025,0.0025904051393637966
45,SilIF(a=0.5),0.6546528174846233,0.010478023743855626,0.32,0.0016578592891928299,0.21,0.002175940317065589,0.05,0.0025904051393637966,0.03,0.003108486167236556
45,SilIF(a=1.0),0.5543326205336194,0.00876655891153159,0.36,0.0018650917003419335,0.22,0.002279556522640141,0.074,0.0038337996062584186,0.04,0.0041446482229820746
45,SilIF(a=2.0),0.4814344692595313,0.007438696268355987,0.02,0.00010361620557455187,0.05,0.0005180810278727593,0.044,0.002279556522640141,0.061,0.006320588540047663
45,SilIF(a=4.0),0.43873817066718396,0.005949424130317413,0.04,0.00020723241114910373,0.04,0.00041446482229820747,0.034,0.0017614754947673816,0.036,0.003730183400683867
45,IF,0.7518033508971433,0.014924382695687365,0.22,0.0011397782613200705,0.19,0.001968707905916485,0.046,0.0023831727282146928,0.023,0.0023831727282146928
45,GlobalKMeans,0.8076538516247286,0.02209599472642125,0.06,0.00031084861672365556,0.03,0.00031084861672365556,0.016,0.0008289296445964149,0.011,0.0011397782613200705
46,SilIF(a=0.0),0.7351501013950374,0.013064130516531304,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.011,0.0011397782613200705
46,SilIF(a=0.25),0.7024811170474621,0.010342134923630205,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.022,0.0011397782613200705,0.013,0.0013470106724691741
46,SilIF(a=0.5),0.6526313403760844,0.00848653421026064,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.036,0.0018650917003419335,0.021,0.002175940317065589
46,SilIF(a=1.0),0.5644691792025949,0.0067598655007489765,0.26,0.0013470106724691741,0.14,0.001450626878043726,0.046,0.0023831727282146928,0.027,0.0027976375505129004
46,SilIF(a=2.0),0.49137931295706777,0.005628821938607236,0.0,0.0,0.0,0.0,0.018,0.0009325458501709667,0.025,0.0025904051393637966
46,SilIF(a=4.0),0.45591256971608396,0.005315459925758421,0.0,0.0,0.0,0.0,0.008,0.00041446482229820747,0.012,0.0012433944668946222
46,IF,0.7351501013950374,0.013064130516531304,0.2,0.0010361620557455186,0.1,0.0010361620557455186,0.02,0.0010361620557455186,0.011,0.0011397782613200705
