seed,method,AUC_ROC,AUC_PR,P@50,R@50,P@100,R@100,P@500,R@500,P@1000,R@1000
42,SilIF,0.7247515769785251,0.12022073060641317,0.14,0.00034634604918113896,0.22,0.0010885161545692939,0.144,0.003562416505863144,0.143,0.00707535500470041
42,IF,0.7229178786310401,0.11927502113332034,0.18,0.000445302063232893,0.17,0.000841126119439909,0.136,0.003364504477759636,0.114,0.005640492800949978
42,GlobalKMeans,0.6963535203174714,0.10949486083025495,0.26,0.0006432140913364009,0.17,0.000841126119439909,0.132,0.003265548463707882,0.173,0.00855969521547672
42,HBOS,0.6786258227871522,0.07348149913247402,0.18,0.000445302063232893,0.18,0.000890604126465786,0.136,0.003364504477759636,0.119,0.0058878828360793625
42,ECOD,0.653185686712754,0.06524825364828235,0.16,0.000395824056207016,0.19,0.000940082133491663,0.142,0.003512938498837267,0.134,0.006630052941467518
43,SilIF,0.7241938508303345,0.13303842568550264,0.26,0.0006432140913364009,0.21,0.0010390381475434169,0.136,0.003364504477759636,0.132,0.006531096927415764
43,IF,0.7225433384387929,0.1239111947630791,0.18,0.000445302063232893,0.19,0.000940082133491663,0.138,0.003413982484785513,0.132,0.006531096927415764
43,GlobalKMeans,0.7138613339925373,0.1539849186836724,0.26,0.0006432140913364009,0.17,0.000841126119439909,0.14,0.00346346049181139,0.224,0.011083073573796447
43,HBOS,0.6786258227871522,0.07348149913247402,0.18,0.000445302063232893,0.18,0.000890604126465786,0.136,0.003364504477759636,0.119,0.0058878828360793625
43,ECOD,0.653185686712754,0.06524825364828235,0.16,0.000395824056207016,0.19,0.000940082133491663,0.142,0.003512938498837267,0.134,0.006630052941467518
44,SilIF,0.7214659811102332,0.14837374294860797,0.2,0.0004947800702587699,0.17,0.000841126119439909,0.136,0.003364504477759636,0.121,0.005986838850131117
44,IF,0.7228616372738407,0.1406438575030608,0.2,0.0004947800702587699,0.16,0.000791648112414032,0.13,0.003216070456682005,0.115,0.0056899708079758545
44,GlobalKMeans,0.7135619387549805,0.15413540209576085,0.26,0.0006432140913364009,0.17,0.000841126119439909,0.14,0.00346346049181139,0.226,0.011182029587848202
44,HBOS,0.6786258227871522,0.07348149913247402,0.18,0.000445302063232893,0.18,0.000890604126465786,0.136,0.003364504477759636,0.119,0.0058878828360793625
44,ECOD,0.653185686712754,0.06524825364828235,0.16,0.000395824056207016,0.19,0.000940082133491663,0.142,0.003512938498837267,0.134,0.006630052941467518
45,SilIF,0.7268125826456422,0.13684825651993016,0.18,0.000445302063232893,0.17,0.000841126119439909,0.154,0.0038098065409925288,0.135,0.006679530948493394
45,IF,0.7228195474202803,0.12968241908095843,0.14,0.00034634604918113896,0.17,0.000841126119439909,0.15,0.0037108505269407748,0.123,0.0060857948641828705
45,GlobalKMeans,0.7137890012522805,0.15398450509906225,0.26,0.0006432140913364009,0.17,0.000841126119439909,0.14,0.00346346049181139,0.224,0.011083073573796447
45,HBOS,0.6786258227871522,0.07348149913247402,0.18,0.000445302063232893,0.18,0.000890604126465786,0.136,0.003364504477759636,0.119,0.0058878828360793625
45,ECOD,0.653185686712754,0.06524825364828235,0.16,0.000395824056207016,0.19,0.000940082133491663,0.142,0.003512938498837267,0.134,0.006630052941467518
46,SilIF,0.7205157340974208,0.11917080418021128,0.18,0.000445302063232893,0.17,0.000841126119439909,0.142,0.003512938498837267,0.132,0.006531096927415764
46,IF,0.7189359085578306,0.11616008574955192,0.12,0.00029686804215526197,0.15,0.0007421701053881549,0.144,0.003562416505863144,0.134,0.006630052941467518
46,GlobalKMeans,0.7126656887910184,0.15259223304621763,0.26,0.0006432140913364009,0.17,0.000841126119439909,0.14,0.00346346049181139,0.225,0.011132551580822325
46,HBOS,0.6786258227871522,0.07348149913247402,0.18,0.000445302063232893,0.18,0.000890604126465786,0.136,0.003364504477759636,0.119,0.0058878828360793625
46,ECOD,0.653185686712754,0.06524825364828235,0.16,0.000395824056207016,0.19,0.000940082133491663,0.142,0.003512938498837267,0.134,0.006630052941467518
